ORIGIN,DEST,UNIQUE_CARRIER,DAY_OF_WEEK,DEP_HOUR,ARR_DELAY
DEN,ORD,AA,5,6,52.0
BOS,DFW,AA,2,5,132.0
IAH,LAX,UA,6,14,35.0
SFO,ORD,UA,7,8,14.0
PHX,SFO,OO,2,11,84.0
LAX,LAS,DL,4,11,19.0
PHX,LAS,WN,3,15,33.0
ORD,ATL,UA,5,10,10.0
LAX,DEN,F9,7,19,18.0
DEN,SFO,UA,5,11,6.0
ORD,BOS,AA,7,12,20.0
PHX,SFO,OO,4,11,55.0
BOS,SFO,B6,3,8,10.0
LAX,SFO,WN,1,9,24.0
DEN,SFO,UA,3,10,34.0
DFW,DEN,F9,3,12,20.0
PHX,SFO,WN,1,19,13.0
DEN,DFW,AA,5,18,29.0
SFO,LAX,UA,5,16,132.0
SFO,DEN,UA,2,16,13.0
PHX,SFO,AA,7,10,75.0
ORD,ATL,DL,4,8,97.0
PHX,SFO,WN,4,19,16.0
BOS,DEN,B6,1,7,7.0
ATL,IAH,EV,3,17,23.0
ORD,LAX,AA,1,20,23.0
ORD,DFW,AA,3,10,26.0
SFO,LAX,UA,3,18,12.0
ORD,IAH,AA,5,17,35.0
IAH,PHX,US,5,8,24.0
SFO,ORD,F9,2,9,67.0
SFO,DEN,UA,6,17,42.0
ATL,BOS,WN,3,21,22.0
PHX,LAS,US,4,20,12.0
DFW,LAX,AA,2,13,22.0
SFO,ORD,UA,4,22,13.0
LAS,ORD,AA,1,0,387.0
DEN,DFW,UA,6,17,139.0
PHX,DFW,AA,4,18,52.0
ATL,DFW,AA,5,7,7.0
IAH,LAX,UA,4,7,13.0
LAX,LAS,WN,7,22,52.0
DEN,LAX,UA,1,18,328.0
PHX,SFO,US,1,13,8.0
DEN,IAH,UA,5,10,31.0
ATL,PHX,WN,4,8,18.0
ORD,PHX,AA,3,13,186.0
SFO,LAX,WN,5,8,10.0
SFO,LAS,OO,6,11,12.0
LAX,DEN,WN,4,20,56.0
ORD,BOS,UA,3,17,6.0
DFW,SFO,AA,3,12,9.0
SFO,ORD,AA,7,9,145.0
LAX,SFO,UA,4,8,12.0
LAX,ATL,WN,4,13,23.0
IAH,ORD,UA,7,19,100.0
LAX,PHX,WN,4,12,29.0
LAS,PHX,WN,2,15,6.0
DEN,PHX,F9,7,18,5.0
LAX,DFW,AA,1,13,17.0
LAX,ORD,UA,5,23,47.0
DFW,LAX,AA,1,8,30.0
IAH,ATL,DL,4,14,9.0
IAH,DEN,UA,1,19,5.0
DEN,PHX,WN,2,15,22.0
DFW,ORD,AA,2,10,13.0
ATL,ORD,DL,6,19,11.0
LAX,IAH,UA,5,10,9.0
ATL,SFO,UA,5,17,37.0
DEN,PHX,UA,3,11,13.0
LAS,SFO,WN,5,22,52.0
IAH,ORD,UA,5,7,61.0
LAX,ORD,AA,1,9,44.0
ORD,BOS,B6,3,6,7.0
IAH,LAX,UA,6,10,10.0
ORD,PHX,AA,1,16,12.0
